iata,name,city,state,country,latitude,longitude
Redondo Beach,Redondo Beach,Redondo Beach,Redondo Beach,Redondo Beach,33.831,-118.3875
Camano Island,Camano Island,Camano Island,Camano Island,Camano Island,48.1625,-122.4954
Turtle Lake,Turtle Lake,Turtle Lake,Turtle Lake,Turtle Lake,45.4135,-92.1792
Essex Junction,Essex Junction,Essex Junction,Essex Junction,Essex Junction,44.5327,-73.058
New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,-41,174
"Cache Creek, BC","Cache Creek, BC","Cache Creek, BC","Cache Creek, BC","Cache Creek, BC",50.8,-121.3167
Santa Cruz,Santa Cruz,Santa Cruz,Santa Cruz,Santa Cruz,36.9713,-121.9875
Las Cruces,Las Cruces,Las Cruces,Las Cruces,Las Cruces,32.3047,-106.6417
Irvine,Irvine,Irvine,Irvine,Irvine,33.7011,-117.797
West Linn,West Linn,West Linn,West Linn,West Linn,45.3422,-122.6639
El Segundo,El Segundo,El Segundo,El Segundo,El Segundo,33.9164,-118.4041
"Port Moody, BC","Port Moody, BC","Port Moody, BC","Port Moody, BC","Port Moody, BC",49.2707,-122.883
Boise,Boise,Boise,Boise,Boise,43.5952,-116.1954
Bronx,Bronx,Bronx,Bronx,Bronx,40.8499,-73.8769
Grand Prairie,Grand Prairie,Grand Prairie,Grand Prairie,Grand Prairie,32.746,-96.9978
Clarksville,Clarksville,Clarksville,Clarksville,Clarksville,36.5597,-87.4097
"Gem, AB","Gem, AB","Gem, AB","Gem, AB","Gem, AB",50.95,-112.1833
Billings,Billings,Billings,Billings,Billings,45.7833,-108.5007
"Kanata, ON","Kanata, ON","Kanata, ON","Kanata, ON","Kanata, ON",45.3333,-75.9
Solana Beach,Solana Beach,Solana Beach,Solana Beach,Solana Beach,32.9959,-117.2571
Buena Park,Buena Park,Buena Park,Buena Park,Buena Park,33.8675,-117.9981
San Clemente,San Clemente,San Clemente,San Clemente,San Clemente,33.4228,-117.6201
AZ,AZ,AZ,AZ,AZ,33.4484,-112.074
Klamath Falls,Klamath Falls,Klamath Falls,Klamath Falls,Klamath Falls,42.444,-122.1741
Silverton,Silverton,Silverton,Silverton,Silverton,44.9544,-122.7138
La Mesa,La Mesa,La Mesa,La Mesa,La Mesa,32.7838,-117.0179
Petaluma,Petaluma,Petaluma,Petaluma,Petaluma,38.2318,-122.5618
Kalispell,Kalispell,Kalispell,Kalispell,Kalispell,48.1987,-114.3857
CO,CO,CO,CO,CO,39.7392,-104.9847
Oakland,Oakland,Oakland,Oakland,Oakland,37.7898,-122.2457
Chino Hills,Chino Hills,Chino Hills,Chino Hills,Chino Hills,33.9473,-117.7289
Hollister,Hollister,Hollister,Hollister,Hollister,36.6212,-93.2155
